Metabolite,HMDB Name,Shift (ppm),Hs,Type,J (Hz),Height,Physiological Charge,SMILES,InChlKey,pKa (Strongest Acidic),pKa (Strongest Basic),Blood,Urine,Feces,Saliva,Cerebrospinal Fluid (CSF),Amniotic Fluid,Aqueous Humour,Ascites Fluid,Breast Milk,Lymph,Sweat,Tears
5-Hydroxylysine,HMDB00450,1.565,17,m,NA,0.5648,1,NC[C@H](O)CC[C@H](N)C(O)=O,InChIKey=YSMODUONRAFBET-UHNVWZDZSA-N,1.87,-3,2.5,0.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7-Dehydrocholesterol,HMDB00032,1.565,10,m,NA,0.165,0,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])C2=CC=C2C[C@@H](O)CC[C@]12C,InChIKey=UCTLRSWJYQTBFZ-DDPQNLDTSA-N,11.25,4.99,5,0.029,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Campesterol,HMDB02869,1.565,6,m,NA,0.1012,0,[H][C@@]12CC[C@H]([C@H](C)CC[C@H](C)C(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,InChIKey=SGNBVLSWZMBQTH-ZRUUVFCLSA-N,1.87,8,8.346666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Biocytin,HMDB03134,1.565,3,m,NA,0.5324,0,[H][C@]12CS[C@@H](CCCCC(=O)NCCCC[C@H](N)C(O)=O)[C@@]1([H])NC(=O)N2,InChIKey=BAQMYDQNMFBZNA-MNXVOIDGSA-N,14.58,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cholestenone,HMDB00921,1.565,5,m,NA,0.2882,0,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=NYOXRYYXRWJDKP-GYKMGIIDSA-N,0.83,7.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Epietiocholanolone,HMDB00546,1.565,4,m,NA,0.9668,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@@H](O)CC[C@]12C,InChIKey=QGXBDMJGAMFCBF-XRJZGPCZSA-N,4.14,-2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Estradiol,HMDB00151,1.565,1,br. s.,NA,0.0324,0,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,InChIKey=VOXZDWNPVJITMN-ZBRFXRBCSA-N,1.86,-6.7,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pimelic acid,HMDB00857,1.565,4,m,NA,0.5746,-2,OC(=O)CCCCCC(O)=O,InChIKey=WLJVNTCWHIRURA-UHFFFAOYSA-N,1.74,7.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Taurodeoxycholic acid,HMDB00896,1.565,4,m,NA,0.1937,-1,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,InChIKey=AWDRATDZQPNJFN-VAYUFCLWSA-N,1.86,-6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Etiocholanolone,HMDB00490,1.575,7,m,NA,0.0835,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C,InChIKey=QGXBDMJGAMFCBF-BNSUEQOYSA-N,3.89,9.5,0.0013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Anabasine,HMDB04350,1.575,3,m,NA,0.0616,1,C1CCC(NC1)C1=CN=CC=C1,InChIKey=MTXSIJUGVMTTMU-UHFFFAOYSA-N,1.86,-4.8,0.0031,4.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Levofloxacin,HMDB01929,1.575,3,d,6.88,0.2381,-1,C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,InChIKey=GSDSWSVVBLHKDQ-JTQLQIEISA-N,3.51,-6.3,0.135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Citrulline,HMDB00904,1.575,1,m,17.38 10.97 6.70,0.3217,0,N[C@@H](CCCNC(N)=O)C(O)=O,InChIKey=RHGKLRLOHDJJDR-BYPYZUCNSA-N,1.5,-7,38,0.3775,NaN,51.82,3.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17-alpha.20-alpha-Dihydroxypregn-4-en-3-one,HMDB11653,1.575,7,m,NA,0.1284,0,[H][C@@]12CC[C@](O)([C@H](C)O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=MASCESDECGBIBB-HNXXTFFGSA-N,1.86,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canrenone,HMDB03033,1.575,4,m,NA,0.0351,0,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C,InChIKey=UJVLDDZCTMKXJK-WNHSNXHDSA-N,6.68,-0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Ketohexanoic acid,HMDB01864,1.575,23,m,NA,0.4369,-1,CCCCC(=O)C(O)=O,InChIKey=XNIHZNNZJHYHLC-UHFFFAOYSA-N,19.55,4.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2-Methoxyestrone,HMDB00010,1.575,1,m,NA,0.02,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3,InChIKey=WHEUWNKSCXYKBU-QPWUGHHJSA-N,1.87,10,NaN,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Eucalyptol,HMDB04472,1.575,4,m,NA,0.1135,0,CC12CCC(CC1)C(C)(C)O2,InChIKey=WEEGYLXZBRQIMU-UHFFFAOYSA-N,1.86,-6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hyodeoxycholic acid,HMDB00733,1.575,0,dt,NA,0.0681,-1,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](O)C2C[C@H](O)CC[C@]12C,InChIKey=DGABKXLVXPYZII-CDONHWFASA-N,5.01,-3.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N6-Acetyl-L-lysine,HMDB00206,1.575,2,m,NA,0.1363,0,CC(=O)NCCCC[C@H](N)C(O)=O,InChIKey=DTERQYGMUDWYAZ-ZETCQYMHSA-N,9.77,-1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Octadecanol,HMDB02350,1.575,2,m,NA,0.0296,0,CCCCCCCCCCCCCCCCCCO,InChIKey=GLDOVTGHNKAZLK-UHFFFAOYSA-N,12.18,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA(16:0/16:0),HMDB00674,1.575,4,m,NA,0.0067,-2,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCC,InChIKey=PORPENFLTBBHSG-MGBGTMOVSA-N,2.56,10.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Venlafaxine,HMDB05016,1.575,2,m,NA,0.0165,1,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,InChIKey=PNVNVHUZROJLTJ-UHFFFAOYSA-N,1.87,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3-Hexanone,HMDB00753,1.578,1,dq,14.75 7.36,0.3263,0,CCCC(=O)CC,InChIKey=PFCHFHIRKBAQGU-UHFFFAOYSA-N,18.88,-0.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Progesterone,HMDB01830,1.585,1,tt,11.09 10.97 3.36,0.0528,0,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=RJKFOVLPORLFTN-LEKSSAKUSA-N,11.17,-6.2,0.0025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Androstenedione,HMDB00053,1.585,5,m,NA,0.0883,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=AEMFNILZOJDQLW-QAGGRKNESA-N,18.2,-7.4,0.0059,0.0068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Azythromycin,HMDB01916,1.585,1,m,NA,0.0112,2,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@H](O[C@H]2O[C@@H](C)C[C@H]([C@@H]2O)N(C)C)[C@@](C)(O)C[C@H](C)CN(C)[C@@H](C)[C@@H](O)[C@]1(C)O,InChIKey=MQTOSJVFKKJCRP-HHZDEWPHSA-N,3.84,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capryloylglycine,HMDB00832,1.585,2,m,NA,0.299,-1,CCCCCCCC(=O)NCC(O)=O,InChIKey=SAVLIIGUQOSOEP-UHFFFAOYSA-N,3.15,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lisinopril,HMDB01938,1.585,1,m,NA,0.3075,0,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,InChIKey=RLAWWYSOJDYHDC-BZSNNMDCSA-N,2.04,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valerylglycine,HMDB00927,1.585,2,tt,7.5,0.3556,-1,CCCCC(=O)NCC(O)=O,InChIKey=NYZBWOSRZJKQAI-UHFFFAOYSA-N,1.48,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Hydroxytetradecanedioic acid,HMDB00394,1.585,2,quin,NA,0.0139,-2,OC(CCCCCCCCCCC(O)=O)CC(O)=O,InChIKey=CEDZIURHISELSQ-UHFFFAOYSA-N,17.39,-1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
All-trans-retinoic acid,HMDB01852,1.585,1,m,NA,0.0979,-1,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,InChIKey=SHGAZHPCJJPHSC-YCNIQYBTSA-N,10.09,5.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Androstanedione,HMDB00899,1.585,3,m,NA,0.2648,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,InChIKey=RAJWOBJTTGJROA-WZNAKSSCSA-N,1.86,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N-Acetylputrescine,HMDB02064,1.585,1,m,NA,0.1826,1,CC(=O)NCCCCN,InChIKey=KLZGKIDSEJWEDW-UHFFFAOYSA-N,17.45,-9.7,NaN,1.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Suberylglycine,HMDB00953,1.585,5,m,NA,0.4656,-2,OC(=O)CCCCCCC(=O)NCC(O)=O,InChIKey=HXATVKDSYDWTCX-UHFFFAOYSA-N,3.23,4.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aldosterone,HMDB00037,1.595,5,m,NA,0.0302,0,C[C@]12CCC(=O)C=C1CCC1C3CC[C@H](C(=O)CO)[C@]3(C[C@H](O)C21)C=O,InChIKey=PQSUYGKTWSAVDQ-SRPWZAMTSA-N,4.03,-3,6.80E-05,0.01,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7-Ketocholesterol,HMDB00501,1.595,15,m,NA,0.5335,0,[H][C@@]12CCC([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C=C2CC(O)CC[C@]12C,InChIKey=YIKKMWSQVKJCOP-QJFKPLHKSA-N,4.65,-6.7,0.056333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Citalopram,HMDB05038,1.595,2,m,NA,0.0029,1,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,InChIKey=WSEQXVZVJXJVFP-UHFFFAOYSA-N,1.87,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Medroxyprogesterone,HMDB01939,1.595,6,s,NA,0.0402,0,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,InChIKey=FRQMUZJSZHZSGN-HBNHAYAOSA-N,4.94,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TG(16:0/16:0/16:0)[iso],HMDB05356,1.595,6,m,NA,0.0361,0,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,InChIKey=PVNIQBQSYATKKL-UHFFFAOYSA-N,1.87,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Octenedioic acid,HMDB00341,1.595,1,m,NA,0.4594,-2,OC(=O)CCCC\C=C\C(O)=O,InChIKey=BNTPVRGYUHJFHN-HWKANZROSA-N,4.65,-1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3-Hydroxysebacic acid,HMDB00350,1.595,2,quin,NA,0.018,-2,OC(CCCCCCC(O)=O)CC(O)=O,InChIKey=OQYZCCKCJQWHIE-UHFFFAOYSA-N,19.09,-4.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5a-Androstane-3b.17b-diol,HMDB00493,1.595,3,m,NA,0.097,0,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,InChIKey=CBMYJHIOYJEBSB-YSZCXEEOSA-N,1.47,-3.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aminocaproic acid,HMDB01901,1.595,2,m,NA,0.207,0,NCCCCCC(O)=O,InChIKey=SLXKOJJOQWFEFD-UHFFFAOYSA-N,0.83,2.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Deoxycorticosterone,HMDB00016,1.595,1,dd,11.23 3.32,0.0614,0,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=ZESRJSPZRDMNHY-YFWFAHHUSA-N,-1.9,-2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lipoamide,HMDB00962,1.595,4,m,NA,0.3875,0,NC(=O)CCCCC1CCSS1,InChIKey=FCCDDURTIIUXBY-UHFFFAOYSA-N,1.87,-4.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tetrahydrocortisone,HMDB00903,1.595,3,m,NA,0.0027,0,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C,InChIKey=SYGWGHVTLUBCEM-SDYDLROXSA-N,15.56,10.9,NaN,0.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Decanoylcarnitine,HMDB00651,1.605,2,m,NA,0.0465,0,CCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,InChIKey=LZOSYCMHQXPBFU-UHFFFAOYSA-N,5,-6.2,0.2005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lithocholic acid,HMDB00761,1.605,2,m,NA,0.0313,-1,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@H](O)CC[C@]12C,InChIKey=SMEROWZSTRWXGI-YPLGJCPNSA-N,1.77,-1.8,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hexacosanoic acid,HMDB02356,1.605,2,q,NA,0.0018,-1,CCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O,InChIKey=XMHIUKTWLZUKEX-UHFFFAOYSA-N,12.18,10,0.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Erucic acid,HMDB02068,1.605,2,m,NA,0.0726,-1,CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O,InChIKey=DPUOLQHDNGRHBS-KTKRTIGZSA-N,1.46,-6.1,0.646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N-Methyl-a-aminoisobutyric acid,HMDB02141,1.605,3,s,NA,1,0,CNC(C)(C)C(O)=O,InChIKey=DLAMVQGYEVKIRE-UHFFFAOYSA-N,-1.8,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epiandrosterone,HMDB00365,1.605,2,m,NA,0.1204,0,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@@H](O)CC[C@]12C,InChIKey=QGXBDMJGAMFCBF-QRIARFFBSA-N,9.61,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Leucinic acid,HMDB00665,1.605,3,m,NA,0.1866,-1,CC(C)CC(O)C(O)=O,InChIKey=LVRFTAZAXQPQHI-UHFFFAOYSA-N,15.54,0.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Oenanthic ether,HMDB00798,1.605,2,m,NA,0.0843,0,CCCCCCC(=O)OCC,InChIKey=TVQGDYNRXLTQAP-UHFFFAOYSA-N,12.45,1.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stearoylcarnitine,HMDB00848,1.615,2,quin,NA,0.0104,0,CCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,InChIKey=FNPHNLNTJNMAEE-UHFFFAOYSA-N,0.83,5,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Decanal,HMDB11623,1.615,2,m,NA,0.0243,0,CCCCCCCCCC=O,InChIKey=KSMVZQYAVGTKIV-UHFFFAOYSA-N,1.86,-3,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
L-Octanoylcarnitine,HMDB00791,1.615,2,t,NA,0.0424,0,CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,InChIKey=CXTATJFJDMJMIY-CYBMUJFWSA-N,3.6,3.19,0.1755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Danazol,HMDB02835,1.615,4,m,NA,0.1533,0,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC3=C(C[C@]12C)C=NO3,InChIKey=POZRVZJJTULAOH-LHZXLZLDSA-N,2.89,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-Arginine,HMDB03416,1.615,2,m,NA,0.1448,1,N[C@H](CCCNC(N)=N)C(O)=O,InChIKey=ODKSFYDXXFIFQN-SCSAIBSYSA-N,14.58,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octacosanoic acid,HMDB02348,1.615,2,m,NA,7.00E-04,-1,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O,InChIKey=UTOPWMOLSKOLTQ-UHFFFAOYSA-N,12.18,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-cis-Retinoic acid,HMDB06219,1.615,2,m,NA,0.032,-1,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C(O)=O,InChIKey=SHGAZHPCJJPHSC-XFYACQKRSA-N,0.38,-3.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Glycyl-L-leucine,HMDB00759,1.615,2,m,NA,0.4372,0,CC(C)C[C@H](NC(=O)CN)C(O)=O,InChIKey=DKEXFJVMVGETOO-LURJTMIESA-N,-0.98,11.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hexanoylcarnitine,HMDB00705,1.615,1,m,NA,0.0493,0,CCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,InChIKey=VVPRQWTYSNDTEA-UHFFFAOYSA-N,11.39,-6.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Oleanolic acid,HMDB02364,1.615,3,m,NA,0.0744,-1,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,InChIKey=MIJYXULNPSFWEK-GTOFXWBISA-N,3.81,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Retinal,HMDB01358,1.615,2,m,NA,0.0471,0,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=O,InChIKey=NCYCYZXNIZJOKI-OVSJKPMPSA-N,1.48,10.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Biotin,HMDB00030,1.625,1,dd,NA,0.1139,-1,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,InChIKey=YBJHBAHKTGYVGT-ZKWXMUAHSA-N,4.36,-3,0.00127,0.036,NaN,0.071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Menthol,HMDB03352,1.625,1,dq,13.15 3.25,0.1036,0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,InChIKey=NOOLISFMXDJSKH-KXUCPTDWSA-N,14.58,-3,0.064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Spermidine,HMDB01257,1.625,1,m,NA,0.4603,3,NCCCCNCCCN,InChIKey=ATHGHQPFGPMSJY-UHFFFAOYSA-N,12.94,-1.4,0.07,0.392,NaN,1.63,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
L-Hexanoylcarnitine,HMDB00756,1.625,2,quin,NA,0.0255,0,CCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,InChIKey=VVPRQWTYSNDTEA-LLVKDONJSA-N,4.17,-3.3,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Taurocholic acid,HMDB00036,1.625,3,m,NA,0.1734,-1,[H][C@@]12C[C@H](O)CCC1(C)C1C[C@H](O)C3(C)C(CCC3C1[C@H](O)C2)C(C)CCC(=O)NCCS(O)(=O)=O,InChIKey=WBWWGRHZICKQGZ-BKXUXKPJSA-N,19.03,-2.8,0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tetracosanoic acid,HMDB02003,1.625,2,quin,NA,0.0026,-1,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,InChIKey=QZZGJDVWLFXDLK-UHFFFAOYSA-N,0.83,4.99,0.596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Heptadecanoic acid,HMDB02259,1.625,2,quin,NA,0.0488,-1,CCCCCCCCCCCCCCCCC(O)=O,InChIKey=KEMQGTRYUADPNZ-UHFFFAOYSA-N,11.76,4.24,1.545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alpha-Linolenic acid,HMDB01388,1.625,2,quin,NA,0.0392,-1,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,InChIKey=DTOSIQBPPRVQHS-PDBXOOCHSA-N,11.32,1.82,7.383333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alpha-Tocopherol,HMDB01893,1.625,1,m,NA,0.0445,0,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,InChIKey=GVJHHUAWPYXKBD-IEOSBIPESA-N,10.07,-4.2,30.94,NaN,NaN,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11a-Hydroxyprogesterone,HMDB00920,1.625,2,m,NA,0.1142,0,[H][C@@]12CCC(C(C)=O)[C@@]1(C)C[C@@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,InChIKey=BFZHCUBIASXHPK-ODYOLWGQSA-N,16.38,10.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-Dodecenoic acid,HMDB00529,1.625,5,m,NA,0.0264,-1,CCCCCC\C=C/CCCC(O)=O,InChIKey=IJBFSOLHRKELLR-FPLPWBNLSA-N,-1.9,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isocaproic acid,HMDB00689,1.625,1,m,NA,0.1431,-1,CC(C)CCC(O)=O,InChIKey=FGKJLKRYENPLQH-UHFFFAOYSA-N,4.15,0.084,NaN,NaN,NaN,43.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N-Butyrylglycine,HMDB00808,1.625,1,tq,7.38,0.4428,-1,CCCC(=O)NCC(O)=O,InChIKey=WPSSBBPLVMTKRN-UHFFFAOYSA-N,1.23,4.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nervonic acid,HMDB02368,1.625,2,m,NA,0.0232,-1,CCCCCCCC\C=C/CCCCCCCCCCCCCC(O)=O,InChIKey=GWHCXVQVJPWHRF-KTKRTIGZSA-N,13.78,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pentacosanoic acid,HMDB02361,1.625,2,quin,NA,7.00E-04,-1,CCCCCCCCCCCCCCCCCCCCCCCCC(O)=O,InChIKey=MWMPEAHGUXCSMY-UHFFFAOYSA-N,2.67,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
